country,nonzero_share,peak_weight,peak_date
AT,0.21794871794871795,1.0,2007-02
NL,0.21474358974358973,1.0,2001-03
FR,0.20833333333333334,1.0,2004-12
IT,0.20512820512820512,1.0,2000-07
FI,0.20192307692307693,1.0,2001-01
BE,0.19230769230769232,1.0,2006-01
ES,0.18269230769230768,1.0,2002-03
IE,0.1762820512820513,1.0,2009-04
PT,0.16025641025641027,1.0,2005-12
GR,0.15705128205128205,1.0,2003-09
DE,0.15384615384615385,1.0,2005-05
