Method,RMSE
Median pooling,0.8671904235917454
Multivariate regression,0.8879298662190281
Linear pooling,0.9147735112710015
Lagged correlation,0.914810506966323
Granger,0.9222699834184848
Transfer entropy,0.9312118832577946
PDM distances,1.3238055663198143
PDM angles,1.3239353645001337
