Method,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
Granger,0.5272745090027643,0.5227147442658966,0.3839518239111342,0.5265584518760912,2.4348076877947173,1.2441645563150097
Lagged correlation,0.5844451409719101,0.44334288869212124,0.3724541843839006,0.5755929379747932,2.3685807754873376,1.1892563622291177
Linear pooling,0.5872061913085651,0.44260780231110564,0.37150113760000153,0.5756300895540469,2.3618910149849563,1.1907263189611066
Median pooling,0.6137600417825267,0.4892170615721954,0.4046971236675174,0.6004338709078073,2.18486746356234,1.1330728867405957
Multivariate regression,0.5447292547012949,0.4609686254773496,0.3686440088575053,0.5466948779570314,2.3024474872003204,1.1718527568229788
PDM angles,0.8475974612425337,0.7821082517363687,0.6649265728218707,0.790624061828537,3.428579498945019,1.4946004982033063
PDM distances,0.8476229592928816,0.7819509835429287,0.6649233385041291,0.7907121055499686,3.428018071069402,1.49453822610269
Transfer entropy,0.6896882720451047,0.4619885623724411,0.4107924933837048,0.6037411759770686,2.2795083906013325,1.2200326797218033
