date,ip_yoy_pct
2003-01-01,12.5820568927787
2003-02-01,10.2454642475985
2003-03-01,11.5942028985504
2003-04-01,13.9155470249518
2003-05-01,13.5426889106965
2003-06-01,17.2216936251187
2003-07-01,22.1702525724974
2003-08-01,19.3668528864058
2003-09-01,19.4945848375451
2003-10-01,18.0408163265305
2003-11-01,14.0784982935153
2003-12-01,18.411867364747
2004-01-01,16.1321671525753
2004-02-01,18.973862536302
2004-03-01,19.5670995670995
2004-04-01,14.0690817186183
2004-05-01,13.7424373379429
2004-06-01,11.7694805194805
2004-07-01,9.9540581929556
2004-08-01,9.82839313572531
2004-09-01,9.74320241691829
2004-10-01,6.91562932226821
2004-11-01,10.6207928197455
2004-12-01,4.34782608695625
2005-01-01,9.12133891213366
2005-02-01,5.53295362082978
2005-03-01,6.80666183924678
2005-04-01,4.87444608567195
2005-05-01,3.26747720364733
2005-06-01,-1.23456790123462
2005-07-01,-2.715877437326
2005-08-01,0.497159090909039
2005-09-01,0.412938747419064
2005-10-01,1.68175937904264
2005-11-01,2.02839756592285
2005-12-01,5.29661016949158
2006-01-01,-2.83742331288334
2006-02-01,-0.373581345585664
2006-03-01,-0.54825283814178
2006-04-01,-2.10384564439927
2006-05-01,4.23870277718189
2006-06-01,6.10901100252013
2006-07-01,7.08945650816165
2006-08-01,4.60442120732123
2006-09-01,1.08682963023446
2006-10-01,1.56859460623619
2006-11-01,7.12506569776754
2006-12-01,9.66145181783851
2007-01-01,11.7032392894462
2007-02-01,7.78688524590178
2007-03-01,6.85920577617348
2007-04-01,8.57142857142878
2007-05-01,4.67289719626188
2007-06-01,7.3394495412846
2007-07-01,5.30973451327452
2007-08-01,9.48121645796084
2007-09-01,5.29622980251365
2007-10-01,13.9303482587067
2007-11-01,4.01310401310418
2007-12-01,0.242914979757247
2008-01-01,4.9579045837234
2008-02-01,7.22433460076065
2008-03-01,2.36486486486512
2008-04-01,3.50877192982465
2008-05-01,5.35714285714295
2008-06-01,0.85470085470094
2008-07-01,2.52100840336143
2008-08-01,-3.34967320261438
2008-09-01,-1.44927536231884
2008-10-01,-21.1062590975255
2008-11-01,-27.2440944881889
2008-12-01,-24.3134087237479
2009-01-01,-30.8377896613191
2009-02-01,-27.7482269503547
2009-03-01,-26.5676567656767
2009-04-01,-28.8983050847459
2009-05-01,-29.4067796610171
2009-06-01,-26.6101694915255
2009-07-01,-25.1639344262296
2009-08-01,-23.5841081994928
2009-09-01,-19.5501730103806
2009-10-01,-8.21033210332104
2009-11-01,4.97835497835492
2009-12-01,5.33617929562427
2010-01-01,13.1443298969072
2010-02-01,8.22085889570556
2010-03-01,13.7078651685393
2010-04-01,17.6400476758046
2010-05-01,15.1260504201682
2010-06-01,12.9330254041571
2010-07-01,8.54326396495082
2010-08-01,10.2876106194691
2010-09-01,11.1827956989247
2010-10-01,10.4522613065327
2010-11-01,11.2371134020619
2010-12-01,11.8541033434651
2011-01-01,9.56719817767641
2011-02-01,10.3174603174602
2011-03-01,8.79446640316186
2011-04-01,5.36980749746688
2011-05-01,9.4890510948903
2011-06-01,8.38445807770934
2011-07-01,8.98082744702292
2011-08-01,10.4312938816447
2011-09-01,8.31721470019313
2011-10-01,7.73430391264759
2011-11-01,6.39481000926747
2011-12-01,3.53260869565181
2012-01-01,2.39085239085221
2012-02-01,2.98047276464525
2012-03-01,0.181653042688375
2012-04-01,0.961538461538463
2012-05-01,2.85714285714286
2012-06-01,-0.943396226415003
2012-07-01,1.85185185185195
2012-08-01,-2.54314259763852
2012-09-01,-4.10714285714269
2012-10-01,-2.87162162162154
2012-11-01,-2.52613240418102
2012-12-01,-5.68678915135584
2013-01-01,-3.35025380710646
2013-02-01,-5.68862275449085
2013-03-01,-4.62375339981851
2013-04-01,-1.90476190476181
2013-05-01,-9.25925925925916
2013-06-01,-5.23809523809514
2013-07-01,-4.54545454545446
2013-08-01,-4.38024231127671
2013-09-01,-4.74860335195531
2013-10-01,-4.34782608695644
2013-11-01,-3.75335120643423
2013-12-01,0.0
2014-01-01,-4.20168067226882
2014-02-01,-2.96296296296287
2014-03-01,-5.79847908745239
2014-04-01,-4.85436893203873
2014-05-01,-1.4285714285713
2014-06-01,-4.32160804020082
2014-07-01,-11.3333333333332
2014-08-01,-20.0779727095515
2014-09-01,-15.5425219941348
2014-10-01,-15.6363636363635
2014-11-01,-15.5988857938717
2014-12-01,-17.1614100185528
2015-01-01,-16.5
2015-02-01,-16.5
2015-03-01,-17.299999999999997
2015-04-01,-16.700000000000003
2015-05-01,-16.299999999999997
2015-06-01,-14.700000000000005
2015-07-01,-13.200000000000005
2015-08-01,-7.400000000000006
2015-09-01,-6.5
2015-10-01,-7.099999999999994
2015-11-01,-8.599999999999994
2015-12-01,-5.099999999999994
2016-01-01,0.0999999999999943
2016-02-01,8.200000000000003
2016-03-01,3.0999999999999943
2016-04-01,4.200000000000003
2016-05-01,1.0999999999999943
2016-06-01,-1.9000000000000057
2016-07-01,1.4000000000000057
2016-08-01,5.200000000000003
2016-09-01,5.0
2016-10-01,5.099999999999994
2016-11-01,8.700000000000003
2016-12-01,6.599999999999994
2017-01-01,4.299999999999997
2017-02-01,-3.4000000000000057
2017-03-01,0.9000000000000057
2017-04-01,-2.9000000000000057
2017-05-01,3.5
2017-06-01,6.0
2017-07-01,1.0
2017-08-01,2.9000000000000057
2017-09-01,0.9000000000000057
2017-10-01,1.2999999999999972
2017-11-01,0.5
2017-12-01,-0.5999999999999943
2018-01-01,3.9000000000000057
2018-02-01,5.200000000000003
2018-03-01,4.299999999999997
2018-04-01,5.5
2018-05-01,3.5
2018-06-01,2.299999999999997
2018-07-01,4.099999999999994
2018-08-01,0.7999999999999972
2018-09-01,1.5
2018-10-01,2.700000000000003
2018-11-01,1.9000000000000057
2018-12-01,1.0999999999999943
2019-01-01,-1.0
2019-02-01,-1.7000000000000028
2019-03-01,2.4000000000000057
2019-04-01,4.299999999999997
2019-05-01,3.299999999999997
2019-06-01,0.5999999999999943
2019-07-01,1.7000000000000028
2019-08-01,1.2000000000000028
2019-09-01,0.4000000000000057
2019-10-01,-2.9000000000000057
2019-11-01,-5.900000000000006
2019-12-01,-6.700000000000003
2020-01-01,-4.900000000000006
2020-02-01,-1.0
2020-03-01,-6.700000000000003
2020-04-01,-15.099999999999994
2020-05-01,-12.5
2020-06-01,-4.700000000000003
2020-07-01,-2.9000000000000057
2020-08-01,-4.099999999999994
2020-09-01,-3.4000000000000057
2020-10-01,-4.200000000000003
2020-11-01,0.5
2020-12-01,5.299999999999997
2021-01-01,-3.5
2021-02-01,-4.200000000000003
2021-03-01,2.5999999999999943
2021-04-01,13.700000000000005
2021-05-01,6.700000000000003
2021-06-01,2.4000000000000057
2021-07-01,1.5
2021-08-01,1.9000000000000057
2021-09-01,0.2000000000000028
2021-10-01,2.4000000000000057
2021-11-01,1.2000000000000028
2021-12-01,-0.2999999999999971
2022-01-01,3.299999999999997
2022-02-01,-9.299999999999995
2022-03-01,-53.5
2022-04-01,-46.5
2022-05-01,-40.7
2022-06-01,-40.4
2022-07-01,-42.0
2022-08-01,-39.2
2022-09-01,-39.4
2022-10-01,-41.0
2022-11-01,-41.1
2022-12-01,-43.9
2023-01-01,-39.0
2023-02-01,-27.599999999999994
2023-03-01,44.1
2023-04-01,19.40000000000001
2023-05-01,18.200000000000003
2023-06-01,14.400000000000006
2023-07-01,14.799999999999995
2023-08-01,15.400000000000006
2023-09-01,12.400000000000006
2023-10-01,17.299999999999997
2023-11-01,17.5
2023-12-01,23.700000000000003
2024-01-01,19.099999999999994
2024-02-01,13.400000000000006
2024-03-01,6.400000000000006
2024-04-01,13.400000000000006
2024-05-01,5.0
2024-06-01,0.9000000000000057
2024-07-01,0.0
2024-08-01,-2.299999999999997
2024-09-01,3.799999999999997
2024-10-01,3.0
2024-11-01,0.9000000000000057
2024-12-01,-1.7999999999999972
2025-01-01,-2.700000000000003
2025-02-01,-8.200000000000003
2025-03-01,-5.099999999999994
2025-04-01,-5.400000000000006
2025-05-01,0.0999999999999943
2025-06-01,4.299999999999997
2025-07-01,4.5
2025-08-01,1.9000000000000057
2025-09-01,1.7999999999999972
2025-10-01,-3.0
2025-11-01,-4.900000000000006
2025-12-01,-2.0999999999999943
2026-01-01,-8.099999999999994
2026-02-01,-2.5999999999999943
2026-03-01,4.5
