date;uah_usd
30/11/2023;36,3542
31/12/2023;38,0071
31/01/2024;37,5828
29/02/2024;38,0562
31/03/2024;39,019
30/04/2024;39,5089
31/05/2024;40,5231
30/06/2024;40,4515
31/07/2024;41,0107
31/08/2024;41,0675
30/09/2024;41,2177
31/10/2024;41,2266
30/11/2024;41,5833
31/12/2024;42,0247
31/01/2025;41,7592
28/02/2025;41,4341
31/03/2025;41,4735
30/04/2025;41,4728
31/05/2025;41,5026
30/06/2025;41,7668
31/07/2025;41,724
31/08/2025;41,3021
30/09/2025;41,1712
31/10/2025;41,8909
30/11/2025;42,2548
31/12/2025;42,3567
31/01/2026;42,7587
