,RMSE_Total
PDM_Distance,14.218697708675796
PDM_Angles,14.218754093929116
Granger,14.226316551724477
Lagged_Correlation,14.237707822824422
Linear_Pooling,14.238217760957824
Multivariate_Regression,14.247850319364376
Median_Pooling,14.258219698890715
Transfer_Entropy,14.260594838399665
