,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
PDM_Angles,7.871293278211783,13.089274576047208,21.538538380918343,5.082955776694528,11.212014410936886,8.412306385578235
PDM_Distance,7.871278473199359,13.089338289560994,21.538527641511642,5.083322530761428,11.210852753400339,8.412294552395036
Granger,7.868062887331185,12.923019533158474,21.596157991985994,5.432539699226209,11.192184034523326,8.344167296436206
Lagged_Correlation,7.8616322868462385,12.999590624600895,21.59210541139055,5.4068140306160295,11.180338834701725,8.382877713770865
Multivariate_Regression,7.895842121776685,12.995969772369355,21.580384930993816,5.386258575136075,11.266965494047229,8.445706364292837
Transfer_Entropy,7.772607006386109,12.974003911959535,21.622105212185435,5.480753488525676,11.434327806802814,8.46789709159857
Linear_Pooling,7.862692993665002,12.994235826988662,21.595527601797222,5.412031005780586,11.182984584212772,8.379139563546996
Median_Pooling,7.88855733275207,13.017085871682491,21.596179058595197,5.38834367145517,11.23153175356223,8.394348437453596
