TIME_PERIOD,UA_Actual,PDM_Angles,PDM_Distance,Granger,Lagged_Correlation,Multivariate_Regression,Transfer_Entropy,Linear_Pooling,Median_Pooling
2000-12-01,25.815994260555343,3.0454545454545454,3.0454545454545454,2.99302233099914,3.0378056540170215,2.952458208114721,3.032248319344491,3.045454545454545,2.9
2001-01-01,22.087221964114434,2.9,2.9,2.9196105110283983,2.898926277550153,2.7828067389975697,2.72375367655683,2.9090909090909083,2.9
2001-02-01,18.896171632041714,2.881818181818182,2.881818181818182,2.858261916909404,2.872102091770776,2.7538688700756495,2.7106531352727146,2.881818181818182,2.7
2001-03-01,17.26426339395486,5.0,5.0,2.9318124478140373,2.950256280632562,2.8280684703611274,2.8054532895038906,2.954545454545454,2.5
2001-04-01,17.033655206356112,4.646642187116592,4.644942046147774,3.3730321298737795,3.367586689762298,3.25079604202325,3.215670685976157,3.3727272727272726,3.0
2001-05-01,15.08500472789569,4.393336124572423,4.394117647058824,3.610346156527973,3.6141110120857203,3.5158256922656053,3.4814290172651754,3.6181818181818177,3.3
2001-06-01,11.644662252905613,2.8,2.8,3.4695594511974774,3.463929270918045,3.347053694859293,3.3522555655934223,3.4727272727272718,3.0
2001-07-01,9.85655955416036,2.419828831874006,2.420689655172414,3.1688161677525604,3.1604011400377052,3.0467047868748636,2.983046387400117,3.1727272727272724,2.7
2001-08-01,9.63684643505205,2.45,2.45,2.9706656829888667,2.9694903677833864,2.8628888965357255,2.780192861614257,2.981818181818182,2.5
2001-09-01,7.285958889661059,2.2,2.2,2.882511332411646,2.877364813202278,2.7521504639618204,2.670171506775629,2.8909090909090907,2.4
2001-10-01,6.016302571440235,2.8272727272727276,2.8272727272727276,2.821288484245386,2.819628418025254,2.7141994486379217,2.6516486419988268,2.827272727272727,2.4
2001-11-01,6.121896498304191,2.139405207382843,2.139310344827587,2.6106727908082874,2.6124865164549513,2.496064534796445,2.4394097009523907,2.6181818181818177,2.3
2001-12-01,6.1218964983042135,2.772727272727273,2.772727272727273,2.7454340692728323,2.7612580742076895,2.629723586698126,2.5698619218840792,2.772727272727272,2.3
2002-01-01,5.599128535258324,4.3,4.3,3.209474017493287,3.244667061549545,3.124687819629285,3.117902527470998,3.2636363636363632,2.9
2002-02-01,3.4997422820723267,2.1626911651187157,2.1629685822657985,2.9459588601055087,2.987357977271701,2.8807583865194712,2.87780419376119,2.9999999999999996,2.5
2002-03-01,2.162270463317917,3.2,3.2,3.0160516758911142,3.057817506843817,2.9446903216806577,2.957206881770995,3.072727272727272,2.6
