method,RMSE_all,RMSE_I_2002_2007,RMSE_II_2008_2012,RMSE_III_2013_2019,RMSE_IV_2020_2021,RMSE_V_2022_2023,RMSE_VI_2024_2025
PDM_angles,1.3268159326697395,0.8544690103439221,0.752041729839748,0.6650860971008249,0.790624061828537,3.428579498945019,1.4946004982033063
PDM_distance,1.3267008264483617,0.8544943033477493,0.7520103803271683,0.6650828635588546,0.7907121055499686,3.428018071069402,1.4945382261026903
Granger,0.9222699834184835,0.527274509002772,0.5227147442658842,0.3839518239111323,0.5265584518760966,2.4348076877947085,1.244164556315003
LagCorr,0.9148105069663232,0.58444514097191,0.44334288869212113,0.37245418438390054,0.575592937974793,2.3685807754873376,1.1892563622291177
LinReg,0.887929866219028,0.5447292547012947,0.4609686254773495,0.3686440088575054,0.5466948779570313,2.30244748720032,1.1718527568229788
TransEnt,0.918715939079988,0.6655623126588927,0.4519341663683197,0.4041621415842263,0.6040765600634045,2.271394979293092,1.2132141937546894
LinPool,0.9147735112710015,0.5872061913085651,0.4426078023111055,0.37150113760000153,0.5756300895540469,2.361891014984957,1.1907263189611066
Median,0.8671904235917454,0.6137600417825267,0.4892170615721954,0.4046971236675174,0.6004338709078073,2.18486746356234,1.1330728867405957
