,Full sample,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
PDM_distance,14.218697708675796,7.871278473199359,13.089338289560994,21.538527641511642,5.083322530761428,11.210852753400339,8.412294552395036
PDM_angles,14.218754093929116,7.871293278211783,13.089274576047208,21.538538380918343,5.082955776694528,11.212014410936886,8.412306385578235
Granger,14.226316551724477,7.868062887331185,12.923019533158472,21.596157991985997,5.432539699226212,11.19218403452333,8.344167296436206
Lagged_correlation,14.237707822824422,7.8616322868462385,12.999590624600897,21.59210541139055,5.40681403061603,11.180338834701725,8.382877713770865
Linear_pooling,14.238217760957822,7.862692993665002,12.994235826988662,21.595527601797222,5.412031005780586,11.182984584212772,8.379139563546994
Multivariate_regression,14.247850319364376,7.895842121776685,12.995969772369355,21.580384930993816,5.386258575136076,11.26696549404723,8.445706364292839
Median_pooling,14.258219698890715,7.88855733275207,13.017085871682491,21.596179058595197,5.38834367145517,11.23153175356223,8.394348437453596
Transfer_entropy,14.260594838399665,7.772607006386109,12.974003911959535,21.622105212185435,5.480753488525676,11.434327806802814,8.46789709159857
