date,AT,BE,DE,ES,FI,FR,GR,IE,IT,NL,PT,UA
2000-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-01,0.1827004509751397,0.21226144665769367,0.0,0.0,0.3591227918085231,0.0,0.0,0.0,0.2459153105586435,0.0,0.0,0.0
2001-02-01,0.0,0.15718162524710802,0.0,0.15718162524710816,0.15718162524710816,0.16394691649897652,0.16394691649897672,0.2005612912607224,0.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2001-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-01,0.11327943326795158,0.1317052210007382,0.0,0.1572847517686243,0.11327943326795166,0.1317052210007384,0.0,0.1583242921631057,0.1944216475308901,0.0,0.0,0.0
2001-07-01,0.2054996839659046,0.17312012568187898,0.17312012568187904,0.0,0.15223805858933742,0.29602200608099993,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.5000000000000003,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,0.298048945821784,0.0,0.0,0.18260838400248108,0.22129372435395095,0.0,0.0,0.0,0.298048945821784,0.0,0.0,0.0
2001-10-01,0.4910360754283772,0.5089639245716229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.4999999999999998,0.0
2002-02-01,0.13934835707995502,0.16658428420613036,0.13934835707995502,0.16770294120606383,0.10516572911256937,0.13934835707995508,0.0,0.0,0.14250197423537136,0.0,0.0,0.0
2002-03-01,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
2002-04-01,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2002-05-01,0.435009093327901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5649909066720991,0.0,0.0,0.0
2002-06-01,0.2967489101499534,0.0,0.24637080437312073,0.0,0.21050948110380524,0.24637080437312067,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.14123852106371354,0.0,0.0,0.282313186710211,0.0,0.1412385210637132,0.1528965844521512,0.282313186710211,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
2002-09-01,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
