period,share_months_with_any_pioneer,avg_max_pioneer_weight,median_max_pioneer_weight
I (2002-07),0.8333333333333334,0.46089974274566653,0.3845622019841931
II (2008-12),0.8333333333333334,0.43337150642846506,0.3333791058028642
III (2013-19),0.6547619047619048,0.3199736197575684,0.21736774346490845
IV (2020-21),0.8333333333333334,0.43205807265748625,0.39839914905251206
V (2022-23),0.9166666666666666,0.49123153056409513,0.4352663501188375
VI (2024-25),0.7083333333333334,0.48139921029111926,0.4165190192965035
