date,PDM_angles,PDM_distance,Granger,Lagged_correlation,Multivariate_regression,Transfer_entropy,Linear_pooling,Median_pooling
2000-12-01,3.0454545454545454,3.0454545454545454,2.9930223309991426,3.0378056540170215,2.9524582081147197,3.032248319344491,3.045454545454546,2.9
2001-01-01,2.9,2.9,2.9196105110284045,2.8989262775501534,2.7828067389975693,2.72375367655683,2.9090909090909087,2.9
2001-02-01,2.881818181818182,2.881818181818182,2.8582619169094086,2.872102091770775,2.753868870075649,2.7106531352727146,2.881818181818182,2.7
2001-03-01,5.0,5.0,2.9318124478140417,2.950256280632561,2.828068470361127,2.8054532895038906,2.954545454545455,2.5
2001-04-01,4.6466421871165915,4.644942046147774,3.3730321298737844,3.3675866897622977,3.2507960420232496,3.215670685976157,3.372727272727273,3.0
2001-05-01,4.393336124572423,4.394117647058824,3.610346156527976,3.614111012085719,3.515825692265604,3.4814290172651754,3.618181818181818,3.3
2001-06-01,2.8,2.8,3.4695594511974814,3.4639292709180443,3.347053694859292,3.3522555655934223,3.4727272727272727,3.0
2001-07-01,2.419828831874006,2.420689655172414,3.1688161677525652,3.160401140037705,3.0467047868748622,2.983046387400117,3.172727272727273,2.7
2001-08-01,2.45,2.45,2.9706656829888693,2.9694903677833855,2.8628888965357246,2.780192861614257,2.981818181818182,2.5
2001-09-01,2.2,2.2,2.8825113324116503,2.877364813202277,2.752150463961819,2.670171506775629,2.890909090909091,2.4
2001-10-01,2.8272727272727276,2.8272727272727276,2.821288484245391,2.819628418025254,2.7141994486379204,2.6516486419988268,2.827272727272727,2.4
2001-11-01,2.139405207382843,2.139310344827586,2.610672790808292,2.6124865164549513,2.4960645347964436,2.4394097009523907,2.618181818181818,2.3
2001-12-01,2.772727272727273,2.772727272727273,2.7454340692728376,2.761258074207689,2.6297235866981254,2.5698619218840792,2.7727272727272725,2.3
2002-01-01,4.3,4.3,3.209474017493292,3.2446670615495448,3.124687819629284,3.117902527470998,3.2636363636363637,2.9
2002-02-01,2.1626911651187157,2.162968582265798,2.9459588601055122,2.9873579772717007,2.880758386519471,2.87780419376119,3.0,2.5
2002-03-01,3.2,3.2,3.0160516758911182,3.0578175068438167,2.9446903216806573,2.957206881770995,3.0727272727272723,2.6
2002-04-01,2.1,2.1,2.9277558734657623,2.9682508213652503,2.8568512373424038,2.9020363352909344,2.9818181818181815,2.5
2002-05-01,2.1139922584409665,2.1125,2.636891760649083,2.6796135935203247,2.552198005575583,2.623455881626894,2.690909090909091,2.5
2002-06-01,1.6078086307979023,1.6084498094027955,2.440608690175362,2.47291043467053,2.344243447274454,2.4148825422988085,2.4818181818181824,2.4
2002-07-01,3.5811239291723678,3.581132075471698,2.5530211596270727,2.5647824358332447,2.4576049892392766,2.524440643645694,2.5727272727272728,2.5
2002-08-01,3.7,3.7,2.7006643618818367,2.718731574827426,2.605834871255803,2.6935571991491094,2.727272727272727,2.5
2002-09-01,1.3666666666666667,1.3666666666666667,2.6157562920299324,2.641096305761067,2.5196597091674513,2.6376075385398656,2.6454545454545455,2.9
2002-10-01,3.6500000000000004,3.6500000000000004,2.7408750130184223,2.7592223328290872,2.6480974031304876,2.7932892474382744,2.7636363636363637,2.9
2002-11-01,2.7636363636363637,2.7636363636363637,2.7350770549343095,2.758412785895751,2.6561391371973957,2.799042870627781,2.7636363636363632,2.9
2002-12-01,1.5,1.5,2.7209946509096543,2.7427525872039844,2.653012364064503,2.7945604036697684,2.7454545454545456,3.0
2003-01-01,1.3559661782517844,1.3559322033898304,2.565261805802979,2.6153605996317753,2.5185870362279608,2.666829484392591,2.6181818181818186,2.7
2003-02-01,3.9571129253286728,3.9556485863366095,2.8855850529509524,2.9166956054366633,2.832493472513104,2.9948692760992417,2.9272727272727272,2.6
2003-03-01,1.6981878684703278,1.6983050847457628,2.7681675558888514,2.801613736069526,2.721067968072781,2.87050721209505,2.8090909090909095,2.7
